Fecha,URL,Equipo_Local,Equipo_Visitante,Resultado,0_-_1Gol_Local,0_-_1Gol_Visitante,Sustitución_-_Entra_Local,Sustitución_-_Entra_Visitante,0_-_2Gol_Local,0_-_2Gol_Visitante,0_-_4Gol_Local,0_-_4Gol_Visitante,Anuncio_Local,Anuncio_Visitante,checkbox_label_label_Local,checkbox_label_label_Visitante,Goles_esperados_(xG)_Local,Goles_esperados_(xG)_Visitante,Posesión_Local,Posesión_Visitante,Remates_totales_Local,Remates_totales_Visitante,Remates_a_puerta_Local,Remates_a_puerta_Visitante,Grandes_ocasiones_Local,Grandes_ocasiones_Visitante,Córneres_Local,Córneres_Visitante,Pases_Local,Pases_Visitante,Tarjetas_amarillas_Local,Tarjetas_amarillas_Visitante,xG_a_puerta_(xGOT)_Local,xG_a_puerta_(xGOT)_Visitante,Remates_fuera_Local,Remates_fuera_Visitante,Remates_rechazados_Local,Remates_rechazados_Visitante,Remates_dentro_del_área_Local,Remates_dentro_del_área_Visitante,Remates_fuera_del_área_Local,Remates_fuera_del_área_Visitante,Al_palo_Local,Al_palo_Visitante,Goles_de_cabeza_Local,Goles_de_cabeza_Visitante,Toques_en_el_área_rival_Local,Toques_en_el_área_rival_Visitante,Fueras_de_juego_Local,Fueras_de_juego_Visitante,Tiros_libres_Local,Tiros_libres_Visitante,Pases_largos_Local,Pases_largos_Visitante,Pases_en_el_tercio_final_Local,Pases_en_el_tercio_final_Visitante,Centros_Local,Centros_Visitante,Asistencias_esperadas_(xA)_Local,Asistencias_esperadas_(xA)_Visitante,Saques_de_banda_Local,Saques_de_banda_Visitante,Faltas_Local,Faltas_Visitante,Entradas_Local,Entradas_Visitante,Duelos_ganados_Local,Duelos_ganados_Visitante,Despejes_Local,Despejes_Visitante,Intercepciones_Local,Intercepciones_Visitante,Errores_conducentes_a_remate_Local,Errores_conducentes_a_remate_Visitante,Errores_conducentes_a_gol_Local,Errores_conducentes_a_gol_Visitante,Paradas_Local,Paradas_Visitante,xGOT_enfrentados_Local,xGOT_enfrentados_Visitante,Goles_evitados_Local,Goles_evitados_Visitante,2Córneres3_Local,2Córneres3_Visitante,Tarjetas_rojas_Local,Tarjetas_rojas_Visitante,83%(390/470)Pases73%(178/245)_Local,83%(390/470)Pases73%(178/245)_Visitante,20Faltas14_Local,20Faltas14_Visitante,15Córneres1_Local,15Córneres1_Visitante,89%(641/718)Pases84%(213/254)_Local,89%(641/718)Pases84%(213/254)_Visitante,6Faltas18_Local,6Faltas18_Visitante,6Córneres3_Local,6Córneres3_Visitante,0_-_1Gol_en_propia_puerta_Local,0_-_1Gol_en_propia_puerta_Visitante,9'0_-_1GolGuessand_E._Local,9'0_-_1GolGuessand_E._Visitante,Penalti1_-_0_Local,Penalti1_-_0_Visitante,83%(492/596)Pases74%(198/266)_Local,83%(492/596)Pases74%(198/266)_Visitante,10Faltas26_Local,10Faltas26_Visitante,79%(252/321)Pases88%(649/734)_Local,79%(252/321)Pases88%(649/734)_Visitante,13Faltas8_Local,13Faltas8_Visitante,Penalti2_-_0_Local,Penalti2_-_0_Visitante,86%(521/607)Pases84%(345/410)_Local,86%(521/607)Pases84%(345/410)_Visitante,12Faltas14_Local,12Faltas14_Visitante,19Córneres4_Local,19Córneres4_Visitante,86%(445/519)Pases65%(157/240)_Local,86%(445/519)Pases65%(157/240)_Visitante,26Faltas12_Local,26Faltas12_Visitante,14Córneres2_Local,14Córneres2_Visitante,89%(512/574)Pases87%(322/370)_Local,89%(512/574)Pases87%(322/370)_Visitante,7Faltas13_Local,7Faltas13_Visitante,77%(300/392)Pases80%(346/430)_Local,77%(300/392)Pases80%(346/430)_Visitante,18Faltas13_Local,18Faltas13_Visitante,Gol1_-_0_Local,Gol1_-_0_Visitante,1_-_1Gol_Local,1_-_1Gol_Visitante,82%(276/337)Pases85%(383/449)_Local,82%(276/337)Pases85%(383/449)_Visitante,78%(257/330)Pases78%(268/342)_Local,78%(257/330)Pases78%(268/342)_Visitante,18Faltas17_Local,18Faltas17_Visitante,85%(376/440)Pases83%(320/385)_Local,85%(376/440)Pases83%(320/385)_Visitante,19Faltas17_Local,19Faltas17_Visitante,91%(459/504)Pases89%(413/466)_Local,91%(459/504)Pases89%(413/466)_Visitante,19Faltas4_Local,19Faltas4_Visitante,88%(561/636)Pases78%(271/348)_Local,88%(561/636)Pases78%(271/348)_Visitante,24Faltas9_Local,24Faltas9_Visitante,Penalti1_-_2_Local,Penalti1_-_2_Visitante,Penalti_fallado_Local,Penalti_fallado_Visitante,5Córneres4_Local,5Córneres4_Visitante,91%(645/707)Pases80%(297/372)_Local,91%(645/707)Pases80%(297/372)_Visitante,18Faltas4_Local,18Faltas4_Visitante,85%(433/508)Pases67%(172/255)_Local,85%(433/508)Pases67%(172/255)_Visitante,17Faltas16_Local,17Faltas16_Visitante,87%(489/562)Pases68%(158/232)_Local,87%(489/562)Pases68%(158/232)_Visitante,15Faltas13_Local,15Faltas13_Visitante,84%(418/498)Pases89%(458/513)_Local,84%(418/498)Pases89%(458/513)_Visitante,10Faltas13_Local,10Faltas13_Visitante,91%(471/515)Pases82%(229/280)_Local,91%(471/515)Pases82%(229/280)_Visitante,15Faltas12_Local,15Faltas12_Visitante,39'Gol1_-_0Hong_Yun-Sang_Local,39'Gol1_-_0Hong_Yun-Sang_Visitante,1_-_1Penalti_Local,1_-_1Penalti_Visitante,5Córneres6_Local,5Córneres6_Visitante,89%(590/663)Pases85%(352/414)_Local,89%(590/663)Pases85%(352/414)_Visitante,9Faltas18_Local,9Faltas18_Visitante,1Córneres2_Local,1Córneres2_Visitante,86%(459/535)Pases88%(416/473)_Local,86%(459/535)Pases88%(416/473)_Visitante,20Faltas21_Local,20Faltas21_Visitante,90%(507/566)Pases80%(288/360)_Local,90%(507/566)Pases80%(288/360)_Visitante,12Faltas11_Local,12Faltas11_Visitante
11.06.2026 02:00,https://www.flashscore.es/partido/futbol/argelia-nc87N1BR/bolivia-nXdi7mbc/resumen/estadisticas/general/?mid=p28Hg2qn,Bolivia,Argelia,0-4Finalizado,45',(Amoura M.),85',Robson Matheus,56',(Boulbina A.),61',(Zerrouki R.),BundesligaLaLiga EA SportsLaLiga HypermotionCopa del ReySupercopaLigue 1Premier LeagueSerie AEredivisieEurocopa,Champions LeagueEuropa LeagueConference LeagueUEFA Nations LeagueCampeonato del Mundo,checkbox label label,checkbox label label,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.06.2026 01:00,https://www.flashscore.es/partido/futbol/brasil-fshAb9b7/estados-unidos-fNV1DGgg/resumen/estadisticas/general/?mid=vBbChtpp,Brasil Sub-17,EE. UU. Sub-17,1-0Finalizado,,,,,,,,,BundesligaLaLiga EA SportsLaLiga HypermotionCopa del ReySupercopaLigue 1Premier LeagueSerie AEredivisieEurocopa,Champions LeagueEuropa LeagueConference LeagueUEFA Nations LeagueCampeonato del Mundo,checkbox label label,checkbox label label,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.06.2026 22:00,https://www.flashscore.es/partido/futbol/costa-rica-C4ePE2kq/inglaterra-j9N9ZNFA/resumen/estadisticas/general/?mid=KjB2DklK,Inglaterra,Costa Rica,3-0Finalizado,,,,,,,,,BundesligaLaLiga EA SportsLaLiga HypermotionCopa del ReySupercopaLigue 1Premier LeagueSerie AEredivisieEurocopa,Champions LeagueEuropa LeagueConference LeagueUEFA Nations LeagueCampeonato del Mundo,checkbox label label,checkbox label label,4.89,0.03,81%,19%,28,1,8,0,5,0,11,1,91%(507/559),57%(73/129),0,4,3.12,0.00,10,0,10,1,18,0,10,1,1,0,1,0,46,1,0,0,24,7,76%(16/21),20%(7/35),87%(210/241),35%(9/26),16%(4/25),0%(0/2),2.36,0.02,16,12,7,24,60%(9/15),58%(7/12),57,29,5,33,7,9,1,0,0,0,0,6,0.00,3.12,0.00,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.06.2026 21:45,https://www.flashscore.es/partido/futbol/nigeria-EBE2Xb3l/portugal-WvJrjFVN/resumen/estadisticas/general/?mid=COGgSqom,Portugal,Nigeria,2-1Finalizado,,,,,,,,,BundesligaLaLiga EA SportsLaLiga HypermotionCopa del ReySupercopaLigue 1Premier LeagueSerie AEredivisieEurocopa,Champions LeagueEuropa LeagueConference LeagueUEFA Nations LeagueCampeonato del Mundo,checkbox label label,checkbox label label,1.60,0.33,61%,39%,13,5,6,2,3,1,3,2,91%(535/588),86%(322/373),2,2,1.35,0.94,6,2,1,1,9,2,4,3,1,0,,,21,10,4,1,19,11,73%(38/52),60%(25/42),77%(101/132),71%(41/58),29%(4/14),0%(0/5),0.65,0.27,12,18,11,19,80%(8/10),83%(10/12),38,30,7,15,10,8,0,0,0,0,1,4,0.94,1.35,-0.06,-0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.06.2026 18:00,https://www.flashscore.es/partido/futbol/afganistan-4M0iRO5p/pakistan-YDdhqj6h/resumen/estadisticas/general/?mid=0rOn60t3,Pakistán,Afganistán,2-0Finalizado,,,,,,,,,BundesligaLaLiga EA SportsLaLiga HypermotionCopa del ReySupercopaLigue 1Premier LeagueSerie AEredivisieEurocopa,Champions LeagueEuropa LeagueConference LeagueUEFA Nations LeagueCampeonato del Mundo,checkbox label label,checkbox label label,,,41%,59%,3,6,3,5,,,2,3,,,3,2,,,0,1,,,,,,,,,,,,,,,14,15,,,,,,,,,18,22,14,14,,,,,,,,,,,,,,,,,,,Ataque,14Tiros libres15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.06.2026 03:00,https://www.flashscore.es/partido/futbol/argentina-f9OppQjp/islandia-6TsAIrGN/resumen/estadisticas/general/?mid=hI4787v8,Argentina,Islandia,3-0Finalizado,,,,,,,,,BundesligaLaLiga EA SportsLaLiga HypermotionCopa del ReySupercopaLigue 1Premier LeagueSerie AEredivisieEurocopa,Champions LeagueEuropa LeagueConference LeagueUEFA Nations LeagueCampeonato del Mundo,checkbox label label,checkbox label label,2.85,1.67,63%,37%,15,6,7,1,6,2,2,2,91%(619/679),85%(337/395),2,6,3.00,0.11,4,5,4,0,11,5,4,1,2,0,,,33,8,3,0,21,13,63%(24/38),55%(22/40),84%(80/95),56%(33/59),20%(1/5),50%(3/6),2.01,0.99,14,9,13,21,57%(4/7),50%(3/6),43,34,7,10,9,6,0,1,0,0,1,4,0.11,3.00,0.11,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.06.2026 03:00,https://www.flashscore.es/partido/futbol/irak-K8aAGt6r/venezuela-raj05RS9/resumen/estadisticas/general/?mid=IX7goKum,Irak,Venezuela,0-2Finalizado,,,,,,,,,BundesligaLaLiga EA SportsLaLiga HypermotionCopa del ReySupercopaLigue 1Premier LeagueSerie AEredivisieEurocopa,Champions LeagueEuropa LeagueConference LeagueUEFA Nations LeagueCampeonato del Mundo,checkbox label label,checkbox label label,,,42%,58%,10,10,5,5,,,2,3,,,1,4,,,5,5,,,,,,,,,,,,,1,3,18,9,,,,,,,,,10,13,8,15,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.06.2026 01:00,https://www.flashscore.es/partido/futbol/arabia-saudi-biSY8ox4/senegal-hOIsJLJr/resumen/estadisticas/general/?mid=l0r76kyJ,Arabia Saudí,Senegal,0-0Finalizado,,,,,,,,,BundesligaLaLiga EA SportsLaLiga HypermotionCopa del ReySupercopaLigue 1Premier LeagueSerie AEredivisieEurocopa,Champions LeagueEuropa LeagueConference LeagueUEFA Nations LeagueCampeonato del Mundo,checkbox label label,checkbox label label,1.13,0.41,41%,59%,9,7,3,5,3,0,1,3,82%(305/373),88%(467/530),3,3,0.48,1.20,5,1,1,1,5,5,4,2,0,1,,,10,14,3,2,16,14,37%(20/54),70%(28/40),63%(45/71),80%(126/158),14%(1/7),23%(3/13),0.93,0.62,12,18,14,16,84%(16/19),82%(9/11),45,38,14,8,14,9,0,2,0,0,5,4,1.20,0.48,1.20,0.48,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09.06.2026 20:30,https://www.flashscore.es/partido/futbol/liberia-UZzaxY9t/sierra-leona-0W8SXIIf/resumen/estadisticas/general/?mid=OlwVijm1,Liberia,Sierra Leona,3-1Finalizado,,,,,,,,,BundesligaLaLiga EA SportsLaLiga HypermotionCopa del ReySupercopaLigue 1Premier LeagueSerie AEredivisieEurocopa,Champions LeagueEuropa LeagueConference LeagueUEFA Nations LeagueCampeonato del Mundo,checkbox label label,checkbox label label,,,56%,44%,13,10,7,7,,,3,6,,,,,,,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09.06.2026 20:00,https://www.flashscore.es/partido/futbol/azerbaiyan-UTJj1saj/san-marino-Wlrb53yT/resumen/estadisticas/general/?mid=0vOQ3C9U,Azerbaiyán,San Marino,2-1Finalizado,,,,,,,,,BundesligaLaLiga EA SportsLaLiga HypermotionCopa del ReySupercopaLigue 1Premier LeagueSerie AEredivisieEurocopa,Champions LeagueEuropa LeagueConference LeagueUEFA Nations LeagueCampeonato del Mundo,checkbox label label,checkbox label label,,,58%,42%,20,10,5,5,,,6,6,83%(390/470),73%(178/245),5,5,,,5,3,10,2,,,,,,,,,,,1,2,19,20,,,,,,,,,19,18,20,14,,,,,13,25,,,,,,,,,,,,,,,,,Pases,19Saques de banda18,Defensa,13Despejes25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09.06.2026 20:00,https://www.flashscore.es/partido/futbol/benin-tKuIoRxU/togo-noW84S74/resumen/estadisticas/general/?mid=xfYwGYAs,Togo,Benín,5-1Finalizado,,,,,,,,,BundesligaLaLiga EA SportsLaLiga HypermotionCopa del ReySupercopaLigue 1Premier LeagueSerie AEredivisieEurocopa,Champions LeagueEuropa LeagueConference LeagueUEFA Nations LeagueCampeonato del Mundo,checkbox label label,checkbox label label,,,60%,40%,9,5,7,4,,,9,5,,,3,5,,,2,1,,,,,,,,,,,,,2,0,13,20,,,,,,,,,23,16,18,13,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09.06.2026 19:00,https://www.flashscore.es/partido/futbol/angola-rTRqsooo/republica-centroafricana-MiKwAcg9/resumen/estadisticas/general/?mid=IXyt0eUI,Angola,República Centroafricana,3-0Finalizado,,,,,,,,,BundesligaLaLiga EA SportsLaLiga HypermotionCopa del ReySupercopaLigue 1Premier LeagueSerie AEredivisieEurocopa,Champions LeagueEuropa LeagueConference LeagueUEFA Nations LeagueCampeonato del Mundo,checkbox label label,checkbox label label,,,55%,45%,9,7,7,3,,,2,3,,,,,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09.06.2026 19:00,https://www.flashscore.es/partido/futbol/argelia-4Ew2xPYe/mauritania-fLTp8LKD/resumen/estadisticas/general/?mid=v3hatZuB,Argelia Sub-23,Mauritania Sub-23,1-3Finalizado,,,,,,,,,BundesligaLaLiga EA SportsLaLiga HypermotionCopa del ReySupercopaLigue 1Premier LeagueSerie AEredivisieEurocopa,Champions LeagueEuropa LeagueConference LeagueUEFA Nations LeagueCampeonato del Mundo,checkbox label label,checkbox label label,,,55%,45%,11,10,7,10,,,5,5,,,,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09.06.2026 19:00,https://www.flashscore.es/partido/futbol/egipto-GErs0Nyp/rusia-EuGhP0hG/resumen/estadisticas/general/?mid=lhl4AVqQ,Egipto Sub-19,Rusia Sub-19,2-5Finalizado,,,,,,,,,BundesligaLaLiga EA SportsLaLiga HypermotionCopa del ReySupercopaLigue 1Premier LeagueSerie AEredivisieEurocopa,Champions LeagueEuropa LeagueConference LeagueUEFA Nations LeagueCampeonato del Mundo,checkbox label label,checkbox label label,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09.06.2026 19:00,https://www.flashscore.es/partido/futbol/hungria-MTVhw6Go/kazajistan-l6fBVhqk/resumen/estadisticas/general/?mid=lU5Vjjgt,Hungría,Kazajistán,3-1Finalizado,,,,,,,,,BundesligaLaLiga EA SportsLaLiga HypermotionCopa del ReySupercopaLigue 1Premier LeagueSerie AEredivisieEurocopa,Champions LeagueEuropa LeagueConference LeagueUEFA Nations LeagueCampeonato del Mundo,checkbox label label,checkbox label label,2.16,0.51,71%,29%,20,8,6,2,5,2,3,5,85%(428/505),66%(133/201),2,7,2.38,0.19,8,3,6,3,14,6,6,2,0,0,0,1,32,11,1,1,22,7,63%(29/46),30%(13/44),71%(101/143),54%(27/50),19%(5/26),22%(2/9),1.90,0.28,26,24,7,22,60%(9/15),60%(12/20),58,48,23,34,6,14,2,0,0,0,1,3,0.19,2.38,-0.81,-0.62,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09.06.2026 19:00,https://www.flashscore.es/partido/futbol/rusia-hrgrswHh/trinidad-y-tobago-UTg8M6Sd/resumen/estadisticas/general/?mid=nRhGL5tR,Rusia,Trinidad y Tobago,3-0Finalizado,,,,,,,,,BundesligaLaLiga EA SportsLaLiga HypermotionCopa del ReySupercopaLigue 1Premier LeagueSerie AEredivisieEurocopa,Champions LeagueEuropa LeagueConference LeagueUEFA Nations LeagueCampeonato del Mundo,checkbox label label,checkbox label label,3.88,0.28,65%,35%,21,7,10,1,9,0,10,2,88%(469/532),74%(212/287),1,2,5.16,0.20,7,3,4,3,17,3,4,4,0,0,,,51,4,1,1,10,19,72%(41/57),39%(26/67),77%(127/166),42%(16/38),13%(3/23),0%(0/9),2.73,0.13,18,10,19,10,60%(9/15),69%(9/13),40,47,15,28,11,15,1,1,0,1,1,8,0.20,5.16,0.20,2.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09.06.2026 18:30,https://www.flashscore.es/partido/futbol/bielorrusia-lhXEH2VT/burkina-faso-bJOXzWga/resumen/estadisticas/general/?mid=vcPioTJN,Bielorrusia,Burkina Faso,2-2Finalizado,,,,,,,,,BundesligaLaLiga EA SportsLaLiga HypermotionCopa del ReySupercopaLigue 1Premier LeagueSerie AEredivisieEurocopa,Champions LeagueEuropa LeagueConference LeagueUEFA Nations LeagueCampeonato del Mundo,checkbox label label,checkbox label label,,,36%,64%,8,11,4,5,,,1,6,,,2,1,,,4,6,,,,,,,,,,,,,0,2,13,13,,,,,,,,,15,26,13,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09.06.2026 18:30,https://www.flashscore.es/partido/futbol/costa-rica-l4nC5TIa/cuba-SrpUzouo/resumen/estadisticas/general/?mid=0hPPGmpn,Costa Rica Sub-23,Cuba Sub-23,0-0Finalizado,,,,,,,,,BundesligaLaLiga EA SportsLaLiga HypermotionCopa del ReySupercopaLigue 1Premier LeagueSerie AEredivisieEurocopa,Champions LeagueEuropa LeagueConference LeagueUEFA Nations LeagueCampeonato del Mundo,checkbox label label,checkbox label label,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09.06.2026 18:00,https://www.flashscore.es/partido/futbol/georgia-QHv6ApOD/moldavia-4GB9NYYI/resumen/estadisticas/general/?mid=CdEoBiMa,Moldavia Sub-21,Georgia Sub-21,3-2Finalizado,,,,,,,,,BundesligaLaLiga EA SportsLaLiga HypermotionCopa del ReySupercopaLigue 1Premier LeagueSerie AEredivisieEurocopa,Champions LeagueEuropa LeagueConference LeagueUEFA Nations LeagueCampeonato del Mundo,checkbox label label,checkbox label label,,,34%,66%,8,14,3,8,,,2,7,,,,,,,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09.06.2026 18:00,https://www.flashscore.es/partido/futbol/chile-KUCG35cM/rd-congo-phn9mm8H/resumen/estadisticas/general/?mid=xlHCZ7lR,RD Congo,Chile,1-2Finalizado,,,,,,,,,BundesligaLaLiga EA SportsLaLiga HypermotionCopa del ReySupercopaLigue 1Premier LeagueSerie AEredivisieEurocopa,Champions LeagueEuropa LeagueConference LeagueUEFA Nations LeagueCampeonato del Mundo,checkbox label label,checkbox label label,0.50,0.29,50%,50%,10,6,4,3,0,0,7,2,83%(364/437),83%(363/436),1,2,0.46,0.37,4,3,2,0,5,1,5,5,0,0,,,18,13,1,3,16,16,43%(20/46),49%(27/55),69%(77/111),62%(58/94),20%(3/15),42%(5/12),0.56,0.49,17,19,16,16,55%(6/11),60%(12/20),48,49,17,22,8,11,0,0,0,0,1,3,0.37,0.46,-1.63,-0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09.06.2026 17:00,https://www.flashscore.es/partido/futbol/armenia-2TEHMnnn/moldavia-zsDPKQGb/resumen/estadisticas/general/?mid=rwY2xc0e,Armenia,Moldavia,1-1Finalizado,,,,,,,,,BundesligaLaLiga EA SportsLaLiga HypermotionCopa del ReySupercopaLigue 1Premier LeagueSerie AEredivisieEurocopa,Champions LeagueEuropa LeagueConference LeagueUEFA Nations LeagueCampeonato del Mundo,checkbox label label,checkbox label label,,,64%,36%,23,7,8,3,,,15,1,89%(641/718),84%(213/254),1,3,,,9,3,6,1,,,,,,,,,,,,,18,6,,,,,,,,,31,9,6,18,,,,,7,56,,,,,,,,,,,,,,,,,,,,,Ataque,18Tiros libres6,Pases,31Saques de banda9,Defensa,7Despejes56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09.06.2026 17:00,https://www.flashscore.es/partido/futbol/japon-E5LOBYiP/usa-tv6quatk/resumen/estadisticas/general/?mid=nZWmQ0lA,EE. UU. Sub-19,Japón Sub-19,5-2Finalizado,,,,,,,,,BundesligaLaLiga EA SportsLaLiga HypermotionCopa del ReySupercopaLigue 1Premier LeagueSerie AEredivisieEurocopa,Champions LeagueEuropa LeagueConference LeagueUEFA Nations LeagueCampeonato del Mundo,checkbox label label,checkbox label label,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09.06.2026 17:00,https://www.flashscore.es/partido/futbol/etiopia-4AGUPqC2/malawi-vT8sNsdL/resumen/estadisticas/general/?mid=KxOvvL2n,Etiopía,Malaui,1-1Finalizado,,,,,,,,,BundesligaLaLiga EA SportsLaLiga HypermotionCopa del ReySupercopaLigue 1Premier LeagueSerie AEredivisieEurocopa,Champions LeagueEuropa LeagueConference LeagueUEFA Nations LeagueCampeonato del Mundo,checkbox label label,checkbox label label,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
